[INFO] [1777011571.242975278] [perception_node]: Perception node started
[INFO] [1777011578.038824043] [perception_node]: left=0.28, front=0.26, right=inf, camera_detected=True, camera_pos=left, red_ratio=0.083 -> front_blocked_turn_right_camera_object_left
[INFO] [1777011578.137154664] [perception_node]: left=0.20, front=0.45, right=inf, camera_detected=True, camera_pos=left, red_ratio=0.083 -> front_blocked_turn_right_camera_object_left
[INFO] [1777011578.237107679] [perception_node]: left=0.26, front=0.47, right=inf, camera_detected=True, camera_pos=left, red_ratio=0.083 -> front_blocked_turn_right_camera_object_left
[INFO] [1777011578.341699165] [perception_node]: left=0.21, front=0.45, right=inf, camera_detected=True, camera_pos=left, red_ratio=0.083 -> front_blocked_turn_right_camera_object_left
[INFO] [1777011578.436630423] [perception_node]: left=0.20, front=0.25, right=inf, camera_detected=True, camera_pos=left, red_ratio=0.083 -> front_blocked_turn_right_camera_object_left
[INFO] [1777011578.536910862] [perception_node]: left=0.44, front=0.46, right=inf, camera_detected=True, camera_pos=left, red_ratio=0.083 -> front_blocked_turn_right_camera_object_left
[INFO] [1777011578.637103208] [perception_node]: left=0.36, front=0.23, right=inf, camera_detected=True, camera_pos=left, red_ratio=0.083 -> front_blocked_turn_right_camera_object_left
[INFO] [1777011578.736771501] [perception_node]: left=0.40, front=0.53, right=inf, camera_detected=True, camera_pos=left, red_ratio=0.083 -> front_blocked_turn_right_camera_object_left
[INFO] [1777011578.837662300] [perception_node]: left=0.23, front=0.35, right=inf, camera_detected=True, camera_pos=left, red_ratio=0.083 -> front_blocked_turn_right_camera_object_left
[INFO] [1777011578.943106055] [perception_node]: left=0.48, front=0.37, right=inf, camera_detected=True, camera_pos=left, red_ratio=0.083 -> front_blocked_turn_right_camera_object_left
[INFO] [1777011579.036709576] [perception_node]: left=0.26, front=0.31, right=inf, camera_detected=True, camera_pos=left, red_ratio=0.083 -> front_blocked_turn_right_camera_object_left
[INFO] [1777011579.139912973] [perception_node]: left=0.49, front=0.38, right=inf, camera_detected=True, camera_pos=left, red_ratio=0.083 -> front_blocked_turn_right_camera_object_left
