[INFO] [1777011591.938226819] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011592.037141230] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011592.137467322] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011592.238549871] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011592.337245619] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011592.439570605] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011592.538742882] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011592.637546970] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011592.737306544] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011592.837000226] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011592.937503358] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011593.039262401] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011593.137502719] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011593.244304763] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011593.338261203] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011593.437957744] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011593.540302250] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011593.637358939] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011593.738565485] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011593.837587521] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011593.938811420] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011594.038622968] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011594.137435436] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011594.237653612] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011594.339067904] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011594.437517679] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011594.537158373] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011594.637512746] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011594.737734360] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011594.840775289] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011594.937560378] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011595.037572229] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011595.137515420] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011595.238014009] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011595.337578138] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011595.437967933] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011595.537405108] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011595.639744155] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011595.737856439] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011595.838247692] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011595.937086591] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011596.042425521] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011596.137603990] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011596.237789339] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011596.338508887] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011596.437107152] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011596.537471630] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011596.640665229] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
