[INFO] [1777011573.236541167] [decision_node]: Decision node started
[INFO] [1777011583.037504040] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011583.138522571] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011583.237575570] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011583.337635931] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011583.437240022] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011583.539873635] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011583.640246423] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011583.736904359] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011583.841927640] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011583.937286454] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011584.038157214] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011584.137017969] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011584.237864243] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011584.337165523] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011584.439979287] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011584.537132124] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
