[INFO] [1777006593.963636056] [perception_node]: Perception node started
[INFO] [1777006596.756114208] [perception_node]: left=0.25, front=0.22, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006596.828847500] [perception_node]: left=0.23, front=0.38, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006596.846044836] [perception_node]: left=0.21, front=0.30, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006596.856646685] [perception_node]: left=0.24, front=0.50, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006596.928967954] [perception_node]: left=0.24, front=0.39, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006596.945927573] [perception_node]: left=0.30, front=0.33, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006596.956534981] [perception_node]: left=0.34, front=0.28, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.028463387] [perception_node]: left=0.28, front=0.24, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.046493793] [perception_node]: left=0.29, front=0.49, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.055967818] [perception_node]: left=0.31, front=0.60, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.129594371] [perception_node]: left=0.26, front=0.34, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.146207728] [perception_node]: left=0.24, front=0.26, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.156230913] [perception_node]: left=0.69, front=0.30, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006597.229464272] [perception_node]: left=0.28, front=0.48, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
