[INFO] [1777006595.978660949] [decision_node]: Decision node started
[INFO] [1777006596.648046322] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.648619144] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.656448408] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.657331115] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.658179311] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.729255994] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.730270047] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.731310106] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.746394803] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.747419182] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.748375684] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.756366204] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.757466901] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.758300788] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.829152440] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.829935163] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.830515849] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.845890443] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.847236779] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.848098449] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.856510480] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.857427003] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.858300852] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.929903240] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.930826287] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.931387091] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.946212641] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.947001821] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.947604587] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.958116529] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.959209291] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.960117330] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.028754175] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.030119064] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.030907766] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.046702525] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.047668494] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.048723289] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.056651681] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.059079887] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.059678694] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.129816130] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.130879722] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.131443381] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.149333385] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.149987556] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.150494821] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.156426715] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.157431756] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.158355018] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.229190601] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.229883112] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.230776563] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.247371911] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.248607383] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.250155056] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.256268975] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.257187337] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.258140764] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.328919888] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.329569853] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.330223363] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.346373949] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.347385840] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.348275378] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.356233706] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.357061448] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.357861574] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.429314662] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.430141485] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.430902220] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.446686733] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.447691322] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.448656822] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.456179585] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.457014298] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.457851511] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.529000453] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.530177789] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.531083524] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.546493035] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.547589519] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.548402357] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.556281793] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.557031580] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.557559315] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.629071854] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.629841526] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.630599377] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.646082184] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.647659943] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.648687765] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.656173403] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.657093356] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.658020613] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.729356983] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.730317868] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.731232373] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.747380754] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.748307686] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.748850032] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.756340061] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.757402291] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.758303321] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.828845332] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.832776765] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.833714148] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.848263060] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006597.848983875] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
